"List of plants for all fuels, United States, all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vvvvu&geo=vvvvvvvvvvvvo&sec=g&freq=M&start=200101&end=202505&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Wed Jul 30 2025 19:20:26 GMT-0700 (Pacific Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"(3K) 59 Hetcheltown Rd",66729,"NY","Electric utility non-cogen","PV","SUN"
"0 Hammond St CSG",64876,"MA","Electric utility non-cogen","PV","SUN"
"1 Commercial",67464,"MA","Electric utility non-cogen","PV","SUN"
"10 Briggs Solar NG, LLC (East)",62781,"RI","Electric utility non-cogen","PV","SUN"
"10 Finderne Avenue Solar, LLC",64023,"NJ","Electric utility non-cogen","PV","SUN"
"100 Brook Hill Drive Solar",63292,"NY","Commercial non-cogen","PV","SUN"
"100 Lower",65620,"NY","Electric utility non-cogen","PV","SUN"
"1001 Ebenezer Church Solar",63444,"NC","Electric utility non-cogen","PV","SUN"
"1008 Matthews Solar",63447,"NC","Electric utility non-cogen","PV","SUN"
"1009 Yadkin Solar",63445,"NC","Electric utility non-cogen","PV","SUN"
"101 Carnegie Center Solar, LLC",64025,"NJ","Electric utility non-cogen","PV","SUN"
"1025 Traveller Solar, LLC",62660,"NC","Electric utility non-cogen","PV","SUN"
"1034 Catherine Lake Solar, LLC",64478,"NC","Electric utility non-cogen","PV","SUN"
"1045 Tomlin Mill Solar",63448,"NC","Electric utility non-cogen","PV","SUN"
"1047 Little Mountain Solar, LLC",62661,"NC","Electric utility non-cogen","PV","SUN"
"1051 Lucky Solar, LLC",64271,"NC","Electric utility non-cogen","PV","SUN"
"1073 Onslow Solar",63446,"NC","Electric utility non-cogen","PV","SUN"
"115 G Fisher",65092,"MA","Electric utility non-cogen","PV","SUN"
"118 Echo",68390,"MA","Electric utility non-cogen","PV","SUN"
"12 Applegate Solar LLC",59371,"NJ","Electric utility non-cogen","PV","SUN"
"126 Grove Solar LLC",60858,"MA","Electric utility non-cogen","PV","SUN"
"13 Mile Solar, LLC",64456,"MI","Electric utility non-cogen","PV","SUN"
"145 Talmadge Solar",57458,"NJ","Electric utility non-cogen","PV","SUN"
"15 Glen Harris RD",67032,"ME","Electric utility non-cogen","PV","SUN"
"154 D Fisher",65093,"MA","Electric utility non-cogen","PV","SUN"
"158th Fighter Wing Solar Farm",60542,"VT","Electric utility non-cogen","PV","SUN"
"160 Tihonet Rd Hybrid(CSG)",65056,"MA","Electric utility non-cogen","PV","SUN"
"1634 Solar",61935,"SC","Electric utility non-cogen","PV","SUN"
"1639 RT 29 Solar 1",65785,"NY","Electric utility non-cogen","PV","SUN"
"1639 RT 29 Solar 2",65786,"NY","Electric utility non-cogen","PV","SUN"
"180 Raritan Solar",58187,"NJ","Electric utility non-cogen","PV","SUN"
"196 Tremont St(CSG)",65114,"MA","Electric utility non-cogen","PV","SUN"
"201 Sturbridge B",59822,"MA","Electric utility non-cogen","PV","SUN"
"20333 Normandie PV, LLC",65331,"CA","Electric utility non-cogen","PV","SUN"
"205 Sturbridge A",59821,"MA","Electric utility non-cogen","PV","SUN"
"20701 Plummer PV, LLC",65794,"CA","Electric utility non-cogen","PV","SUN"
"2081 Terzian Solar Project",58918,"CA","Electric utility non-cogen","PV","SUN"
"2097 Helton Solar Project",58920,"CA","Electric utility non-cogen","PV","SUN"
"2127 Harris Solar Project",58919,"CA","Electric utility non-cogen","PV","SUN"
"231 Dixon 74 Solar I, LLC",61195,"NC","Electric utility non-cogen","PV","SUN"
"232 Long Branch 29 Solar I, LLC",63296,"NC","Electric utility non-cogen","PV","SUN"
"233 Randolph 74 Solar I, LLC",65819,"NC","Electric utility non-cogen","PV","SUN"
"24 Applegate Solar LLC",59365,"NJ","Electric utility non-cogen","PV","SUN"
"25 Ashdown Road Solar, LLC",62998,"NY","Electric utility non-cogen","PV","SUN"
"25 Mile Creek",65511,"OK","Electric utility non-cogen","WT","WND"
"2555 E Olympic Bl",57871,"CA","Commercial non-cogen","PV","SUN"
"265 Pleasant Solar NG, LLC",59485,"MA","Electric utility non-cogen","PV","SUN"
"2662 Freeport Solar 1 CSG",64058,"IL","Electric utility non-cogen","PV","SUN"
"276 Federal Rd(CSG)",64875,"MA","Electric utility non-cogen","PV","SUN"
"28 Livermore Hill Road Solar",64014,"MA","Electric utility non-cogen","PV","SUN"
"299 Farm to Market Rd Hybrid(CSG)",65057,"MA","Electric utility non-cogen","PV","SUN"
"2W Permian Solar Project Hybrid",63255,"TX","Electric utility non-cogen","BA,PV","MWH,SUN"
"301 Chestnut Solar NG",61518,"MA","Electric utility non-cogen","PV","SUN"
"3100 Valleyview Drive",68391,"OH","Electric utility non-cogen","PV","SUN"
"3104 Batavia Solar",66036,"NY","Electric utility non-cogen","PV","SUN"
"315 Vinson Road",63979,"NC","Electric utility non-cogen","PV","SUN"
"3232 Batavia Solar",66037,"NY","Electric utility non-cogen","PV","SUN"
"350 Clark Solar, NG, LLC",61224,"NJ","Electric utility non-cogen","PV","SUN"
"3Colton",66320,"MA","Electric utility non-cogen","PV","SUN"
"4 Applegate Solar LLC",59370,"NJ","Electric utility non-cogen","PV","SUN"
"401 South",67241,"MA","Electric utility non-cogen","PV","SUN"
"433 Purchase Solar NG, LLC",61237,"MA","Electric utility non-cogen","PV","SUN"
"435A Bergen Avenue",63366,"NJ","Commercial non-cogen","PV","SUN"
"45 Mile Hydroelectric Project",58455,"OR","Electric utility non-cogen","HY","WAT"
"456 Lower",65621,"NY","Electric utility non-cogen","PV","SUN"
"46 Meadowlands Parkway",62325,"NJ","Commercial non-cogen","PV","SUN"
"4710 Hosting",62162,"MN","Commercial non-cogen","IC","DFO"
"491 E 48th Street",7268,"MI","Electric utility","GT","NG"
"4Oaks",59534,"NC","Electric utility non-cogen","PV","SUN"
"5 Berry",67242,"MA","Electric utility non-cogen","PV","SUN"
"500 Virginia Solar",57640,"PA","Electric utility non-cogen","PV","SUN"
"510 Carnegie Center",64194,"NJ","Electric utility non-cogen","PV","SUN"
"510 REPP One",57363,"NC","Electric utility non-cogen","PV","SUN"
"515 Main Saugus",68430,"MA","Electric utility non-cogen","PV","SUN"
"5601 Westside CDG",65289,"NJ","Electric utility non-cogen","PV","SUN"
"580 River Solar",65085,"MA","Electric utility non-cogen","PV","SUN"
"59 Federal Rd(CSG)",64970,"MA","Electric utility non-cogen","PV","SUN"
"59th Street",2503,"NY","Electric utility","GT","NG"
"601 Doremus CDG",65280,"NJ","Electric utility non-cogen","PV","SUN"
"6140 Route 209 - North",64046,"NY","Electric utility non-cogen","PV","SUN"
"651 Chase Solar NG",59046,"MA","Electric utility non-cogen","PV","SUN"
"665 Scenic Highway",67457,"MA","Electric utility non-cogen","PV","SUN"
"6685 Santa Barbara Ct",64343,"MD","Electric utility non-cogen","PV","SUN"
"700 Binnewater",67456,"NY","Electric utility non-cogen","PV","SUN"
"701 Carnegie Center",64195,"NJ","Electric utility non-cogen","PV","SUN"
"71 Charlotte Furnace Rd Hybrid(CSG)",65054,"MA","Electric utility non-cogen","PV","SUN"
"7448 Candlewood Road",64502,"MD","Commercial non-cogen","PV","SUN"
"74th Street",2504,"NY","Electric utility","GT","KER"
"77 Farm to Market Rd Hybrid(CSG)",65055,"MA","Electric utility non-cogen","PV","SUN"
"77 Metro Way",62326,"NJ","Commercial non-cogen","PV","SUN"
"7V Solar Ranch",64239,"TX","Electric utility non-cogen","PV","SUN"
"85 A",52162,"CA","Electric utility non-cogen","WT","WND"
"85 B",52163,"CA","Electric utility non-cogen","WT","WND"
"8500 Balboa PV, LLC",65330,"CA","Electric utility non-cogen","PV","SUN"
"9150 Hermosa Solar GM",66622,"CA","Electric utility non-cogen","PV","SUN"
"9521 US 14 SOLAR 1, LLC",67622,"IL","Electric utility non-cogen","PV","SUN"
"99 Islands",3272,"SC","Electric utility","HY","WAT"
"A B Brown",6137,"IN","Electric utility","GT","NG"
"A G Wishon",293,"CA","Electric utility","HY","WAT"
"A Street 1",64114,"RI","Electric utility non-cogen","PV","SUN"
"A Street 2",64111,"RI","Electric utility non-cogen","PV","SUN"
"A.J. Mihm Generating Station",61391,"MI","Electric utility","IC","NG"
"ABC Coke",56076,"AL","Industrial cogen","ST","NG"
"ABD Farms",61525,"NC","Electric utility non-cogen","PV","SUN"
"ABEC #2 dba West-Star Dairy",61501,"CA","Electric utility non-cogen","IC","OBG"
"ABEC #3 dba Lakeview Dairy",61502,"CA","Electric utility non-cogen","IC","OBG"
"ABEC #4 dba CE&S Dairy",61503,"CA","Electric utility non-cogen","IC","OBG"
"ABEC Bidart-Old River LLC",58699,"CA","Electric utility non-cogen","IC","OBG"
"ABIA Parking Structure",67791,"TX","Electric utility non-cogen","PV","SUN"
"AC Criminal Courts Complex SPE2, LLC",58798,"NJ","Commercial non-cogen","PV","SUN"
"AC Power",63260,"NJ","Electric utility non-cogen","PV","SUN"
"ACC",67507,"AR","Electric utility non-cogen","PV","SUN"
"ACCC Mays Landing",60802,"NJ","Electric utility non-cogen","PV","SUN"
"ACCP NJ 1",63198,"NJ","Electric utility non-cogen","PV","SUN"
"ACE-Stanton A PV",61247,"FL","Electric utility non-cogen","PV","SUN"
"ACE-Stanton PV",61246,"FL","Electric utility non-cogen","PV","SUN"
"ACM - Midtown Thermal",63483,"NJ","Commercial cogen","GT","NG,DFO"
"ADA Carbon Solutions Red River",57938,"LA","Industrial cogen","ST","WH"
"ADC Varner",67513,"AR","Electric utility non-cogen","PV","SUN"
"ADP Parsippany NJ",66796,"NJ","Electric utility non-cogen","PV","SUN"
"ADP Roseland, NJ",68615,"NJ","Electric utility non-cogen","PV","SUN"
"ADS Renewable Energy-Wolf Creek LLC",60184,"GA","Electric utility non-cogen","IC","LFG"
"AEP Jacksonville Solar Project",61388,"FL","Electric utility non-cogen","PV","SUN"
"AES Alamitos Energy Center",62115,"CA","Electric utility non-cogen","CT,CA","NG"
"AES Alamitos LLC",315,"CA","Electric utility non-cogen","ST","NG"
"AES Baird Solar CSG",67975,"NY","Electric utility non-cogen","PV","SUN"
"AES Belleville Solar LLC",65127,"IL","Electric utility non-cogen","PV","SUN"
"AES Daigle Solar, LLC",66136,"ME","Electric utility non-cogen","PV","SUN"
"AES ES Alamitos 2 LLC",67579,"CA","Electric utility non-cogen","BA","MWH"
"AES ES Alamitos, LLC",61204,"CA","Electric utility non-cogen","BA","MWH"
"AES Griggs Solar, LLC",64328,"IL","Electric utility non-cogen","PV","SUN"
"AES Huntington Beach Energy Project",62116,"CA","Electric utility non-cogen","CT,CA","NG"
"AES Kekaha Solar, LLC Hybrid",63280,"HI","Electric utility non-cogen","PV","SUN"
"AES Laubacher Solar CSG",67974,"NY","Electric utility non-cogen","PV","SUN"
"AES Lawai Solar Hybrid",61068,"HI","Electric utility non-cogen","BA,PV","MWH,SUN"
"AES Maui Kuihelani Solar Hybrid",64256,"HI","Electric utility non-cogen","BA,PV","MWH,SUN"
"AES Pelletier Solar, LLC",66135,"ME","Electric utility non-cogen","PV","SUN"
"AES Petersburg",994,"IN","Electric utility","ST","DFO,BIT"
"AES Tonawanda Solar LLC",63161,"NY","Electric utility non-cogen","PV","SUN"
"AES Waikoloa Solar Hybrid",63900,"HI","Electric utility non-cogen","BA,PV","MWH,SUN"
"AES West Oahu Solar Hybrid",64656,"HI","Electric utility non-cogen","BA,PV","MWH,SUN"
"AEUG Union Solar, LLC",64660,"OH","Electric utility non-cogen","PV","SUN"
"AFA Solar Farm",57554,"CO","Electric utility non-cogen","PV","SUN"
"AGA TAG Solar III LLC",63243,"SC","Electric utility non-cogen","PV","SUN"
"AGA TAG Solar IV LLC",63225,"NC","Electric utility non-cogen","PV","SUN"
"AIS Solar Project",60986,"MA","Electric utility non-cogen","PV","SUN"
"AJMS, LLC",66406,"ID","Electric utility non-cogen","HY","WAT"
"AL Sandersville LLC",55672,"GA","Electric utility non-cogen","GT","NG"
"ALDI DC 2",62615,"CT","Electric utility non-cogen","PV","SUN"
"AM Best Farm",58344,"NC","Electric utility non-cogen","PV","SUN"
"AM Wind Repower LLC",66167,"CA","Electric utility non-cogen","WT","WND"
"AMEA Peaking",56018,"AL","Electric utility","GT","NG"
"AMP Napoleon Solar Facility",58082,"OH","Electric utility","PV","SUN"
"ANAD Solar Array",60680,"AL","Electric utility","PV","SUN"
"ANP Bellingham Energy Project",55211,"MA","Electric utility non-cogen","CS","NG"
"ANP Blackstone Energy Project",55212,"MA","Electric utility non-cogen","CS","NG"
"ANSON Solar Center, LLC",64026,"TX","Electric utility non-cogen","PV","SUN"
"AOC, Capitol Power Plant",63347,"DC","Commercial cogen","GT","NG,DFO"
"AP North Lake I, LP",59610,"CA","Electric utility non-cogen","PV","SUN"
"AP Sunray LLC",64258,"TX","Electric utility non-cogen","PV","SUN"
"APG Combined Heat and Power Plant",61282,"MD","Commercial cogen","GT","NG"
"APG New Chesapeake",62629,"MD","Electric utility non-cogen","PV","SUN"
"APG Old Bayside",62628,"MD","Electric utility non-cogen","PV","SUN"
"ASA Clayton NY Solar I LLC",65161,"NY","Electric utility non-cogen","PV","SUN"
"ASA DeKalb NY Solar I LLC",65156,"NY","Electric utility non-cogen","PV","SUN"
"ASA DeKalb NY Solar II LLC",65155,"NY","Electric utility non-cogen","PV","SUN"
"ASA DeKalb NY Solar III LLC",65067,"NY","Electric utility non-cogen","PV","SUN"
"ASA Gouverneur NY Solar I LLC",65157,"NY","Electric utility non-cogen","PV","SUN"
"ASA Gouverneur NY Solar II LLC",65158,"NY","Electric utility non-cogen","PV","SUN"
"ASA Volney NY Solar I LLC",65159,"NY","Electric utility non-cogen","PV","SUN"
"ASD Cotuit MA Solar LLC",65014,"MA","Electric utility non-cogen","PV","SUN"
"ASD Wallum MA Solar LLC(CSG)",65015,"MA","Electric utility non-cogen","PV","SUN"
"ASTI",58889,"CA","Electric utility non-cogen","PV","SUN"
"ATI",67384,"WI","Electric utility","PV","SUN"
"ATOOD Solar III LLC",63242,"SC","Electric utility non-cogen","PV","SUN"
"ATOOD Solar IV, LLC",63383,"NC","Electric utility non-cogen","PV","SUN"
"AV Solar Ranch One",57378,"CA","Electric utility non-cogen","PV","SUN"
"AVEP BESS",65591,"CA","Electric utility non-cogen","BA","MWH"
"AVI Bakersfield",68922,"CA","Industrial non-cogen","PV","SUN"
"AVS Lancaster 1",60085,"CA","Electric utility non-cogen","PV","SUN"
"AZ State University - Tempe Campus Solar",62643,"AZ","Commercial non-cogen","PV","SUN"
"Abbot Solar",61936,"SC","Electric utility non-cogen","PV","SUN"
"Abel Road Bioenergy",65517,"CA","Electric utility non-cogen","OT","AB"
"Abel Solar",67790,"IL","Electric utility non-cogen","PV","SUN"
"Aberdeen CT",3338,"SD","Electric utility","GT","NG,DFO"
"Abiquiu Dam",7789,"NM","Electric utility","HY","WAT"
"Absegami",65622,"NJ","Electric utility non-cogen","PV","SUN"
"Acadia Energy Center",55173,"LA","Electric utility","CT,CA","NG"
"Ace Solar",61937,"SC","Electric utility non-cogen","PV","SUN"
"Acer",67632,"NY","Electric utility non-cogen","PV","SUN"
"Achilles Solar",62621,"NC","Electric utility non-cogen","PV","SUN"
"Acid BESS",66659,"CA","Electric utility non-cogen","BA","MWH"
"Acme Solar, LLC",64238,"NC","Electric utility non-cogen","PV","SUN"
"Acton",64673,"ME","Electric utility non-cogen","PV","SUN"
"Acton Solar Landfill",59543,"MA","Commercial non-cogen","PV","SUN"
"Acturus Community Solar",61705,"MN","Electric utility non-cogen","PV","SUN"
"Actus Lend Lease DMAFB",58632,"AZ","Electric utility non-cogen","PV","SUN"
"Acushnet AD Makepeace",58270,"MA","Electric utility non-cogen","PV","SUN"
"Acushnet Hawes Reed Road",58271,"MA","Electric utility non-cogen","PV","SUN"
"Acushnet MA 1",64706,"MA","Electric utility non-cogen","PV","SUN"
"Acushnet MA 2 (CSG)",64707,"MA","Electric utility non-cogen","PV","SUN"
"Acushnet- High Hill",59128,"MA","Electric utility non-cogen","PV","SUN"
"Acushnet-Braley Road 1",59121,"MA","Electric utility non-cogen","PV","SUN"
"Ada Cogeneration LP",10819,"MI","Electric utility cogen","CT,CA","NG"
"Ada Dam",50433,"MI","Electric utility non-cogen","HY","WAT"
"Adair Wind Farm",56810,"IA","Electric utility","WT","WND"
"Adams",64682,"SC","Electric utility non-cogen","PV","SUN"
"Adams Ave MS and HS",60772,"NJ","Electric utility non-cogen","PV","SUN"
"Adams Community Solar Garden III LLC",59850,"CO","Electric utility non-cogen","PV","SUN"
"Adams Community Solar Garden LLC",59849,"CO","Electric utility non-cogen","PV","SUN"
"Adams Farm Solar",59775,"MA","Electric utility non-cogen","PV","SUN"
"Adams Grove Solar",68743,"MA","Electric utility non-cogen","PV","SUN"
"Adams Nielson Solar",61933,"WA","Electric utility non-cogen","PV","SUN"
"Adams PV Plant",67596,"WI","Electric utility non-cogen","PV","SUN"
"Adams Solar",62026,"CT","Electric utility non-cogen","PV","SUN"
"Adams Solar Center",61496,"OR","Electric utility non-cogen","PV","SUN"
"Adams Solar LLC PA",66634,"PA","Electric utility non-cogen","PV","SUN"
"Adams Wind",59637,"IA","Electric utility","WT","WND"
"Adams Wind Farm",56307,"MN","Electric utility non-cogen","WT","WND"
"Adams Wind Generations LLC",57375,"MN","Electric utility non-cogen","WT","WND"
"Adapture CA2, LLC",59978,"CA","Electric utility non-cogen","PV","SUN"
"Adelanto Solar II, LLC",59440,"CA","Electric utility non-cogen","PV","SUN"
"Adelanto Solar Project",57305,"CA","Electric utility","PV","SUN"
"Adelanto Solar, LLC",59441,"CA","Electric utility non-cogen","PV","SUN"
"Adera Solar",60027,"CA","Electric utility non-cogen","PV","SUN"
"Adirondack A+B Community Solar Garden",64588,"MA","Electric utility non-cogen","PV","SUN"
"Adirondack Solar",63772,"NY","Electric utility non-cogen","PV","SUN"
"Adkins Energy LLC",58136,"IL","Industrial cogen","GT,ST","NG"
"Adobe Solar",57651,"CA","Electric utility non-cogen","PV","SUN"
"Adrian",1956,"MN","Electric utility","IC","DFO"
"Adrian Energy Associates LLC",54903,"MI","Electric utility non-cogen","IC","LFG"
"Advance Stores Company, Inc",59788,"CT","Electric utility non-cogen","PV","SUN"
"Aegean Drive Solar",68432,"MA","Electric utility non-cogen","PV","SUN"
"Aegis CSG",63059,"NY","Electric utility non-cogen","PV","SUN"
"Aera San Ardo Cogen Facility",55184,"CA","Industrial cogen","GT","NG"
"Aero Haven Solar",63195,"NJ","Electric utility non-cogen","PV","SUN"
"Aero Solar Facility",65027,"KY","Electric utility","PV","SUN"
"Aerojet I",57697,"CA","Electric utility non-cogen","PV","SUN"
"Aerojet II",57698,"CA","Electric utility non-cogen","PV","SUN"
"Aerolease",61718,"CA","Industrial non-cogen","PV","SUN"
"Afton Generating Station",55210,"NM","Electric utility","CT","NG"
"Agassiz Beach LLC",55576,"MN","Electric utility non-cogen","WT","WND"
"Agave",67964,"AZ","Electric utility","PV","SUN"
"Agawam Solar",59028,"MA","Electric utility non-cogen","PV","SUN"
"Agnews Power Plant",50748,"CA","Electric utility non-cogen","CT","NG"
"Agriculture Capital - Legacy Packing",66797,"CA","Electric utility non-cogen","PV","SUN"
"Agrilectric Power Partners Ltd",10593,"LA","Electric utility non-cogen","ST","NG,AB"
"Agrimony 1",68531,"IL","Electric utility non-cogen","PV","SUN"
"Agriwind",56408,"IL","Electric utility non-cogen","WT","WND"
"Agua Caliente Solar Project",57373,"AZ","Electric utility non-cogen","PV","SUN"
"Agua Fria",141,"AZ","Electric utility","ST,GT,BA,PV","MWH,NG,SUN"
"Ahern Community Solar I, LLC",65758,"IL","Electric utility non-cogen","PV","SUN"
"Ahoskie",59795,"NC","Electric utility non-cogen","PV","SUN"
"Aidlin Geothermal Power Plant",52158,"CA","Electric utility non-cogen","ST","GEO"
"Ainsworth Wind",56162,"NE","Electric utility","WT","WND"
"Air Products Port Arthur",55309,"TX","Industrial cogen","GT,ST","OG,NG"
"Airport 009239 SCS Lexington, LLC",65411,"NE","Electric utility non-cogen","PV","SUN"
"Airport 1 Solar (DIA)",59807,"CO","Electric utility non-cogen","PV","SUN"
"Airport Industrial",7995,"CO","Electric utility","IC","DFO"
"Airport Road Solar (CSG)",65385,"NY","Electric utility non-cogen","PV","SUN"
"Airport Solar",62560,"OR","Electric utility non-cogen","PV","SUN"
"Ajax Solar",60288,"NC","Electric utility non-cogen","PV","SUN"
"Ajax Solar, LLC (MA)",62827,"MA","Electric utility non-cogen","PV","SUN"
"Akron WRF",58980,"OH","Commercial cogen","IC","OBG"
"Aktina Solar",64927,"TX","Electric utility non-cogen","PV","SUN"
"Al Pastor Battery Storage Plant",67721,"TX","Electric utility non-cogen","BA","MWH"
"Alabama Pine Pulp",54429,"AL","Industrial cogen","ST","NG,BLQ"
"Alabama River Pulp",10216,"AL","Industrial cogen","ST","NG,DFO,WDS,BLQ"
"Alafia Solar",61653,"FL","Electric utility","PV","SUN"
"Alamo",905,"CA","Electric utility","HY","WAT"
"Alamo 6",59206,"TX","Electric utility non-cogen","PV","SUN"
"Alamo Solar",59469,"CA","Electric utility non-cogen","PV","SUN"
"Alamogordo Solar Energy Center",57577,"NM","Electric utility","PV","SUN"
"Alamosa",464,"CO","Electric utility","GT","NG,DFO"
"Alamosa Solar",57368,"CO","Electric utility non-cogen","PV","SUN"
"Alamosa Solar South CSG",64266,"CO","Electric utility non-cogen","PV","SUN"
"Albany Green Energy",60340,"GA","Electric utility cogen","ST","NG,WDS"
"Albany Medical Ctr Cogen Plant",59453,"NY","Commercial non-cogen","GT","NG"
"Albany Solar",60519,"MN","Electric utility non-cogen","PV","SUN"
"Albany Solar (WI)",64997,"WI","Electric utility","PV","SUN"
"Albemarle Beach Solar",64169,"NC","Electric utility non-cogen","PV","SUN"
"Albemarle Hospital Unit",56339,"NC","Electric utility","IC","DFO"
"Albemarle Prime Power Park",56263,"NC","Electric utility","IC","DFO"
"Albemarle Solar Center LLC",58806,"NC","Electric utility non-cogen","PV","SUN"
"Albeni Falls",851,"ID","Electric utility","HY","WAT"
"Albert Einstein College of Medicine",62398,"NY","Commercial non-cogen","IC","DFO"
"Albertson Solar LLC",59901,"NC","Electric utility non-cogen","PV","SUN"
"Albertsons at Melrose Park",65005,"IL","Electric utility non-cogen","PV","SUN"
"Albion A",66386,"NY","Electric utility non-cogen","PV","SUN"
"Albuquerque Solar Energy Center",57567,"NM","Electric utility","PV","SUN"
"Alcalde Solar Array",63477,"NM","Electric utility non-cogen","PV","SUN"
"Alcona",1693,"MI","Electric utility","HY","WAT"
"Alcova",6409,"WY","Electric utility","HY","WAT"
"Alden Road Harvard Solar 1",65774,"IL","Electric utility non-cogen","PV","SUN"
"Alden Solar CSG LLC",64021,"CO","Electric utility non-cogen","PV","SUN"
"Alder",3913,"WA","Electric utility","HY","WAT"
"Alethea I",58519,"NJ","Electric utility non-cogen","PV","SUN"
"Alexander",4060,"WI","Electric utility","HY","WAT"
"Alexander Road Solar",67409,"NY","Electric utility non-cogen","PV","SUN"
"Alexander Wind Farm LLC",58666,"KS","Electric utility non-cogen","WT","WND"
"Alexandria",1958,"MN","Electric utility","IC","DFO"
"Alexis Solar, LLC",64227,"TX","Electric utility non-cogen","PV","SUN"
"Algona",1120,"IA","Electric utility","IC","NG,DFO"
"Algonquin Power Sanger LLC",57564,"CA","Electric utility non-cogen","CT,CA","NG"
"Algonquin SKIC 10 Solar, LLC",60242,"CA","Electric utility non-cogen","PV","SUN"
"Algonquin SKIC20 Solar LLC",59412,"CA","Electric utility non-cogen","PV","SUN"
"Algonquin Windsor Locks",10567,"CT","Electric utility cogen","CT,CA","NG"
"Alice Falls Hydro Project",54391,"NY","Electric utility non-cogen","HY","WAT"
"Alicea Solar Project Hybrid CSG",63469,"MA","Electric utility non-cogen","PV","SUN"
"Alkali Solar, LLC",63795,"OR","Electric utility non-cogen","PV","SUN"
"All World Solar Facility",67760,"IL","Industrial non-cogen","PV","SUN"
"Allatoona",760,"GA","Electric utility","HY","WAT"
"Allegan Dam",1694,"MI","Electric utility","HY","WAT"
"Allegany Cogen",7784,"NY","Electric utility non-cogen","CT,CA","NG"
"Allegheny Energy Units 3 4 & 5",55710,"PA","Electric utility non-cogen","CT,CA","NG"
"Allegheny Hydro No 8",50897,"PA","Electric utility non-cogen","HY","WAT"
"Allegheny Hydro No 9",50898,"PA","Electric utility non-cogen","HY","WAT"
"Allegheny No 6 Hydro Station",50894,"PA","Electric utility non-cogen","HY","WAT"
"Allegheny No. 5 Hydro Station",50893,"PA","Electric utility non-cogen","HY","WAT"
"Allegheny Ridge Wind Farm",56451,"PA","Electric utility non-cogen","WT","WND"
"Allen",3393,"TN","Electric utility","CT,CA","NG"
"Allen S King",1915,"MN","Electric utility","ST","DFO"
"Allendale Biomass",58706,"SC","Electric utility non-cogen","ST","WDS"
"Allens Falls",2540,"NY","Electric utility non-cogen","HY","WAT"
"Allenwood",57581,"PA","Electric utility non-cogen","IC","LFG"
"Alliant Energy Neenah",55135,"WI","Electric utility","GT","NG"
"Alliant SBD 8602 Marion Sub",54716,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBD 9106 Rockwell CR",54717,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBD 9107 JBS USA",54715,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBD 9201 Norplex",54712,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBD 9203 Profol",54719,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBD 9205 A Y McDonald",54710,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBD 9206 Donaldson",54718,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBD 9301 Prairie Farms",54735,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBD 9403 Aegon DC",54929,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBD0201 Ingredion",55996,"IA","Electric utility non-cogen","IC","DFO"
"Alliant SBG 9802 Toyota",56073,"IA","Electric utility non-cogen","IC","NG"
"Allie L.L.C. (CSG)",65381,"MN","Electric utility non-cogen","PV","SUN"
"Allied Beverages Elizabeth",63353,"NJ","Electric utility non-cogen","PV","SUN"
"Allied Potato",68150,"CA","Industrial non-cogen","PV","SUN"
"Allis Medina Solar LLC CSG",63129,"NY","Electric utility non-cogen","PV","SUN"
"Allison Creek Hydro",58982,"AK","Electric utility","HY","WAT"
"Allium Community Solar Garden, LLC",63304,"MN","Electric utility non-cogen","PV","SUN"
"Allora Solar, LLC",63808,"SC","Electric utility non-cogen","PV","SUN"
"Almond",62546,"CA","Electric utility non-cogen","PV","SUN"
"Almond Power Plant",7315,"CA","Electric utility","GT","NG"
"Aloha Solar Energy Fund 1 PK1",58659,"HI","Electric utility non-cogen","PV","SUN"
"Alpaca",58813,"PA","Electric utility non-cogen","IC","NG"
"Alpaugh 50",58003,"CA","Electric utility non-cogen","PV","SUN"
"Alpaugh North",58002,"CA","Electric utility non-cogen","PV","SUN"
"Alpena Cement Plant",50305,"MI","Industrial cogen","ST","NG,PC"
"Alpha Value Solar",62054,"NC","Electric utility non-cogen","PV","SUN"
"Alpine Power Plant",59926,"MI","Electric utility","GT","NG"
"Alpine Solar",57295,"CA","Electric utility non-cogen","PV","SUN"
"Alsey",7818,"IL","Electric utility","GT","NG,DFO"
"Alta Farms II Wind Project, LLC",64088,"IL","Electric utility non-cogen","WT","WND"
"Alta Luna",60258,"NM","Electric utility non-cogen","PV","SUN"
"Alta Municipal Utilities",1121,"IA","Electric utility","IC","DFO"
"Alta Powerhouse",214,"CA","Electric utility","HY","WAT"
"Alta Sea",66395,"CA","Electric utility non-cogen","PV","SUN"
